name,arch,n_keys,n_experts,expert_dim,n_heads,top_k,lambda_aux,router_split,unif_mode,activation,seed,task,n_params,grok_step,final_train_acc,final_test_acc,final_train_loss,final_test_loss,wall_time_s,dead_frac_1,dead_frac_2,route_entropy_1,route_entropy_2,subdir,tt_rank,tucker_rank
moe_hd_n16_m8_h4_k4_lam0.001_natural_mixed_f0.8_wd1_rk1_s0,moe_hd,16,256,8,4,4,0.001,natural,token,relu,0,mixed,60176,-1,0.8197748409202154,0.6650352388410337,1.098416491717144,1.3703412539154267,398.32622027397156,0.0,0.0,1.297164632426571,1.173610759785969,runs_mixed,16,32
moe_hd_n32_m8_h4_k4_lam0.001_natural_mixed_f0.8_wd1_rk1_s0,moe_hd,32,1024,8,4,4,0.001,natural,token,relu,0,mixed,120352,8800,0.9999021047479197,0.9915818324197337,0.028612046654879084,0.09032395377043363,515.6856088638306,0.0,0.0,1.3213511702317733,1.1455104720742806,runs_mixed,16,32
moe_hd_n64_m8_h4_k4_lam0.001_natural_mixed_f0.8_wd1_rk1_s0,moe_hd,64,4096,8,4,4,0.001,natural,token,relu,0,mixed,240704,17300,0.9998531571218796,0.9825763508222396,0.020126318873229472,0.13370446404537,803.7219696044922,0.0,0.0,1.3294147800116487,1.1969860015791915,runs_mixed,16,32
moe_tucker_n16_m8_h4_k4_lam0.001_natural_mixed_f0.8_wd1_rk1_s0,moe_tucker,16,256,8,4,4,0.001,natural,token,relu,0,mixed,288160,1700,1.0,0.9972592012529365,0.0066643404482161364,0.02456304629332588,1014.459184885025,0.0,0.0,1.3733980593680215,1.3579900354924166,runs_mixed,16,32
moe_tucker_n32_m8_h4_k4_lam0.001_natural_mixed_f0.8_wd1_rk1_s0,moe_tucker,32,1024,8,4,4,0.001,natural,token,relu,0,mixed,1090720,1800,1.0,1.0,0.00018574320330552125,0.0007299196934830703,1918.6697738170624,0.0,0.0,1.359303581237569,1.3773198170598069,runs_mixed,16,32
moe_tucker_n64_m8_h4_k4_lam0.001_natural_mixed_f0.8_wd1_rk1_s0,moe_tucker,64,4096,8,4,4,0.001,natural,token,relu,0,mixed,1121952,2100,1.0,1.0,0.00015329350400542839,0.0004903753007307777,2074.184218645096,0.0,0.046875,1.3562785549202656,1.3801907509511673,runs_mixed,16,32
