name,arch,n_keys,n_experts,expert_dim,n_heads,top_k,lambda_aux,router_split,unif_mode,activation,seed,task,n_params,grok_step,final_train_acc,final_test_acc,final_train_loss,final_test_loss,wall_time_s,subdir,tt_rank,tucker_rank,dead_frac_1,dead_frac_2,route_entropy_1,route_entropy_2
moe_full_n16_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s1,moe_full,16,256,8,4,4,0.001,natural,token,relu,1,single,739712,-1,1.0,0.0,0.11702722819249418,7.72964436912686,640.6192071437836,runs,16,32,0.0,0.0,1.1990429690453859,1.1990285630475963
moe_full_n16_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s2,moe_full,16,256,8,4,4,0.001,natural,token,relu,2,single,739712,-1,1.0,0.00274079874706343,0.12614158447385126,7.555630414301096,640.5411717891693,runs,16,32,0.0,0.0,1.198674482395173,1.199868341061361
moe_full_n32_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_full,32,1024,8,4,4,0.001,natural,token,relu,0,single,2929920,-1,0.9516397454723446,0.005090054815974941,0.1971972823551456,13.455544611393892,2173.0858488082886,runs,16,32,0.0,0.0,1.267430107019756,1.2668610324276317
moe_full_n32_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s1,moe_full,32,1024,8,4,4,0.001,natural,token,relu,1,single,2929920,-1,0.9516397454723446,0.005090054815974941,0.1997613384976903,13.630411242169146,2170.933492422104,runs,16,32,0.0,0.0,1.2673799638899783,1.26840534380304
moe_full_n32_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s2,moe_full,32,1024,8,4,4,0.001,natural,token,relu,2,single,2929920,-1,0.9557513460597161,0.004306969459671104,0.1905004799161772,13.328054644675019,2166.1437571048737,runs,16,32,0.0,0.0,1.2671064847189142,1.2686277785813933
moe_full_n4_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_full,4,16,8,4,4,0.001,natural,token,relu,0,single,48944,2700,1.0,0.9984338292873923,0.003966235787741297,0.03661718644849379,127.99346113204956,runs,16,32,0.0,0.0,1.1500962812904838,1.1225163331839536
moe_full_n4_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s1,moe_full,4,16,8,4,4,0.001,natural,token,relu,1,single,48944,2500,1.0,0.9972592012529365,0.004423986669270594,0.051139604513217626,129.60889339447021,runs,16,32,0.0,0.0,1.090529766776603,1.1244584468641692
moe_full_n4_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s2,moe_full,4,16,8,4,4,0.001,natural,token,relu,2,single,48944,3000,1.0,0.990602975724354,0.005609836569033122,0.08102269422849269,126.63559222221375,runs,16,32,0.0,0.0,1.0944683082382498,1.098360939979628
moe_full_n8_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_full,8,64,8,4,4,0.001,natural,token,relu,0,single,188544,9700,1.0,0.9972592012529365,0.017093892221175393,0.06451173452259323,259.23652172088623,runs,16,32,0.0,0.0,1.3060496114173972,1.3039640955809597
moe_full_n8_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s1,moe_full,8,64,8,4,4,0.001,natural,token,relu,1,single,188544,6300,0.9997063142437592,0.9945184025058731,0.021137520616916948,0.05761614794271853,259.9420738220215,runs,16,32,0.0,0.0,1.309761883144661,1.2750007545614739
moe_full_n8_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s2,moe_full,8,64,8,4,4,0.001,natural,token,relu,2,single,188544,7200,1.0,0.9972592012529365,0.02096212184493354,0.060544485213146045,259.8405930995941,runs,16,32,0.0,0.0,1.2865396759431433,1.2545348283071769
moe_hd_n16_m8_h4_k4_lam0.001_interleave_single_f0.8_wd1_rk1_s0,moe_hd,16,256,8,4,4,0.001,interleave,token,relu,0,single,59792,-1,0.9921683798335781,0.8230227094753328,0.2244596581218643,0.7216330388606108,203.0022394657135,runs,16,32,0.0,0.0,1.3098837801000227,1.3333727853469406
moe_hd_n16_m8_h4_k4_lam0.001_natural_single_f0.4_wd1_rk1_s0,moe_hd,16,256,8,4,4,0.001,natural,token,relu,0,single,59792,-1,0.6944009397024276,0.0037854066048818693,1.6023220698536609,7.551497132391333,144.58382868766785,runs,16,32,0.0,0.0,1.1483173896435686,1.1728011699446927
moe_hd_n16_m8_h4_k4_lam0.001_natural_single_f0.6_wd1_rk1_s0,moe_hd,16,256,8,4,4,0.001,natural,token,relu,0,single,59792,8200,0.9986946873776269,0.9970634299138607,0.08706431207730306,0.1372866111522367,158.99787974357605,runs,16,32,0.0,0.0,1.2985436377766941,1.2502560887772527
moe_hd_n16_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk0_s0,moe_hd,16,256,8,4,4,0.001,natural,token,relu,0,single,59792,6600,1.0,1.0,0.00016485059955688417,0.0004953738759996,203.23631358146667,runs,16,32,0.0,0.0,0.8007929692608943,0.8789981924308402
moe_hd_n16_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_hd,16,256,8,4,4,0.001,natural,token,relu,0,single,59792,7600,0.9986294664708761,0.9968676585747847,0.17379504113703806,0.2206611125471075,218.57371997833252,runs,16,32,0.0,0.0,1.2961540114899213,1.2279675142982944
moe_hd_n16_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s1,moe_hd,16,256,8,4,4,0.001,natural,token,relu,1,single,59792,3900,0.9999021047479197,0.9964761158966328,0.12330114333815162,0.17728272918247112,216.74850916862488,runs,16,32,0.0,0.0,1.2933057047148375,1.2894745517873065
moe_hd_n16_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s2,moe_hd,16,256,8,4,4,0.001,natural,token,relu,2,single,59792,4500,1.0,0.9996084573218481,0.088148711396384,0.11500648492560689,216.9105260372162,runs,16,32,0.0,0.0,1.3105410392436194,1.2892859532153638
moe_hd_n16_m8_h4_k4_lam0.001_random_single_f0.8_wd1_rk1_s0,moe_hd,16,256,8,4,4,0.001,random,token,relu,0,single,59792,-1,0.9973568281938326,0.8218480814408771,0.25217554033590306,0.7811314665720438,202.1298704147339,runs,16,32,0.0,0.0,1.3020280975734948,1.3432757276293348
moe_hd_n16_m8_h4_k4_lam0.01_natural_single_f0.8_wd1_rk1_s0,moe_hd,16,256,8,4,4,0.01,natural,token,relu,0,single,59792,3000,0.9999021047479197,0.9996084573218481,0.06303448632716899,0.08917135359630421,204.66820073127747,runs,16,32,0.0,0.0,1.3051514520707879,1.2359982780865377
moe_hd_n16_m8_h4_k4_lam0_natural_single_f0.8_wd1_rk1_s0,moe_hd,16,256,8,4,4,0.0,natural,token,relu,0,single,59792,6500,1.0,1.0,0.09471894132116526,0.14004406671367217,204.68668341636658,runs,16,32,0.0,0.0,1.2553477361232301,1.230744971255463
moe_hd_n32_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s0,moe_hd,32,1024,8,4,4,0.001,natural,token,relu,0,single,119584,8400,0.9998042094958395,0.9976507439310884,0.010805976781784408,0.022701553189390416,288.3772940635681,runs,16,32,0.0,0.0,1.336169398907385,1.3009919864157278
moe_hd_n32_m8_h4_k4_lam0.001_natural_single_f0.8_wd1_rk1_s1,moe_hd,32,1024,8,4,4,0.001,natural,token,relu,1,single,119584,9200,0.9999021047479197,0.9992169146436961,0.005665416969601804,0.011249156883197924,288.79178977012634,runs,16,32,0.0,0.0,1.3271914037712236,1.2853357321094427
